closed_on,asp,merchant,program_name,category,angle,channel,conversions,retained_m3,realized_ltv_yen
2025-10-14,A8.net,旧VOD案件,VOD月額,VOD,比較記事,SEO,142,96,5400
2025-11-02,afb,旧会計SaaS,クラウド会計,SaaS,確定申告の駆け込み,SEO,63,55,11200
2025-11-20,バリューコマース,旧英会話,オンライン英会話,教育,無料体験レビュー,YouTube,88,41,4300
2025-12-08,A8.net,旧VOD案件,VOD月額,VOD,年末年始の一気見,SEO,210,121,5100
2026-01-15,afb,旧会計SaaS,クラウド会計,SaaS,インボイス対応比較,SEO,97,84,12800
2026-02-03,もしもアフィリエイト,旧家計簿アプリ,家計簿プレミアム,SaaS,家計見直しテンプレ配布,X,54,38,6900
2026-03-11,バリューコマース,旧動画編集,動画編集SaaS,SaaS,ショート動画の作り方,YouTube,71,49,7600
2026-04-22,A8.net,旧サプリ定期,健康サプリ定期便,健康食品,体験談レビュー,SEO,126,31,2100
2026-05-30,afb,旧ウォーターサーバー,ウォーターサーバー,生活,乗り換えキャンペーン,SEO,45,39,6200
2026-06-18,もしもアフィリエイト,旧英語コーチング,英語コーチング,教育,3ヶ月成果レポート,note,33,24,9800
2026-07-09,バリューコマース,旧VPN,VPNサブスク,ツール,海外旅行時の使い方,SEO,181,88,1900
2026-08-05,afb,旧クラウドストレージ,クラウドストレージ,SaaS,写真バックアップ比較,SEO,58,47,8400
